,gender,exhaust_volume,motorcycle_style,passenger_on_backseat,helmet,height,weight,age,purchase_price,monthly_mileage,traffic_ticket_count,speeding_habbit,has_license,has_modifications,is_noisy_engine,is_mountain_ride,has_regular_maintenance,commute_with_motorcycle,class
0,woman,125,JET,seldom,1,148.782,53.991,29.374,89,386,5,17,1,0,0,0,1,1,low_risk
1,woman,150,cygnus,sometimes,2,144.753,49.113,24.635,52,337,5,29,1,1,1,0,1,1,low_risk
2,woman,150,FORCE,sometimes,2,153.684,59.92,47.37,107,813,2,3,0,0,0,0,0,0,low_risk
3,man,125,Fiddle,sometimes,2,172.524,62.431,41.226,86,221,9,2,1,1,0,0,0,1,low_risk
4,man,125,duke,seldom,3,164.294,71.021,24.978,128,483,10,12,1,0,0,0,0,1,low_risk
5,woman,125,duke,sometimes,2,157.556,37.653,27.253,102,477,6,23,1,0,0,0,0,1,low_risk
6,woman,125,GP,never,2,154.285,41.467,20.628,75,992,7,28,1,0,0,0,0,1,low_risk
7,man,125,FORCE,seldom,2,165.53,43.109,46.668,93,424,1,3,1,1,0,0,0,1,low_risk
8,man,150,BWS,sometimes,1,189.717,51.013,41.547,58,605,9,9,1,1,0,0,1,1,low_risk
9,man,125,Fiddle,usually,2,171.168,63.784,24.062,81,967,4,0,1,0,1,1,1,1,low_risk
10,man,125,JET,never,3,177.97,93.643,32.379,64,655,7,29,1,0,1,1,0,1,low_risk
11,man,50,Swish,seldom,2,160.227,67.107,19.209,81,98,6,23,0,0,0,0,0,1,low_risk
12,man,125,axis Z,sometimes,3,183.215,83.666,32.49,80,564,8,14,1,0,0,0,0,1,low_risk
13,woman,125,Fiddle,seldom,3,166.836,59.987,46.373,50,793,2,3,1,1,0,0,0,0,low_risk
14,woman,125,DRG,seldom,2,155.822,48.641,37.105,55,464,9,27,1,0,1,1,1,0,low_risk
15,man,150,axis Z,seldom,2,188.962,76.952,22.11,105,236,2,21,1,0,0,0,1,1,low_risk
16,man,150,FORCE,seldom,2,164.825,66.082,51.911,112,674,1,16,1,0,0,1,0,1,low_risk
