gender,exhaust_volume,motorcycle_style,passenger_on_backseat,helmet,height,weight,age,purchase_price,monthly_mileage,traffic_ticket_count,speeding_habbit,has_license,has_modifications,is_noisy_engine,is_mountain_ride,has_regular_maintenance,commute_with_motorcycle,class
man,50,BWS,never,2,173.992,61.865,43.485,119,304,8,27,1,1,0,0,1,1,low_risk
woman,100,axis Z,seldom,2,156.623,26.231,27.349,48,91,6,14,1,0,0,0,1,0,low_risk
man,125,Swish,sometimes,3,184.178,71.269,18.651,49,504,2,2,1,0,0,0,0,0,low_risk
woman,150,GP,sometimes,3,152.88,48.544,61.255,86,42,0,22,0,1,0,0,1,1,low_risk
man,125,duke,seldom,2,177.685,68.018,23.31,72,838,10,7,1,1,0,0,0,1,low_risk
woman,50,Fiddle,seldom,2,155.468,65.563,41.574,107,509,9,10,1,0,1,1,0,1,low_risk
woman,125,duke,seldom,2,168.067,48.922,36.515,125,333,10,26,1,0,0,0,0,1,low_risk
woman,125,famous,seldom,2,159.349,59.161,43.812,96,727,9,29,1,1,0,1,1,1,low_risk
woman,125,DRG,sometimes,2,135.959,39.849,63.798,111,266,8,0,1,0,0,0,0,0,medium_risk
man,100,GP,seldom,2,170.241,77.526,41.794,109,855,5,6,1,0,0,1,0,1,low_risk
man,125,JET,sometimes,2,164.194,74.981,42.629,84,97,9,1,1,0,1,0,1,1,low_risk
man,125,Swish,always,2,165.927,68.723,36.84,111,167,5,14,1,0,1,1,0,0,low_risk
woman,125,famous,sometimes,3,150.683,33.704,44.357,48,978,4,15,1,0,0,0,1,1,low_risk
man,125,DRG,seldom,2,170.503,70.079,25.283,102,564,4,17,1,1,0,1,1,1,low_risk
man,150,cygnus,sometimes,2,176.468,72.362,22.351,71,229,5,22,1,0,0,0,0,1,low_risk
woman,150,POG,usually,2,145.432,54.705,32.248,84,551,1,16,1,0,1,0,0,1,low_risk
man,125,axis Z,usually,3,177.264,62.719,21.685,124,748,10,21,1,0,0,1,0,1,low_risk
