gender,exhaust_volume,motorcycle_style,passenger_on_backseat,helmet,height,weight,age,purchase_price,monthly_mileage,traffic_ticket_count,speeding_habbit,has_license,has_modifications,is_noisy_engine,is_mountain_ride,has_regular_maintenance,commute_with_motorcycle,class
man,150,GP,sometimes,2,184.066,67.676,34.871,117,450,10,19,1,1,0,1,1,1,low_risk
man,150,Limi,seldom,2,181.048,52.257,37.801,116,371,3,6,1,0,1,1,0,0,low_risk
man,125,cygnus,always,3,166.88,58.452,52.614,53,750,5,12,1,0,0,1,0,1,low_risk
woman,125,BWS,sometimes,1,151.575,53.728,36.243,93,519,6,15,1,0,0,0,0,0,low_risk
man,125,famous,seldom,2,179.337,73.283,21.878,108,723,7,10,1,1,0,0,0,1,low_risk
woman,125,GP,never,3,162.216,50.382,19.638,42,998,6,4,1,1,0,0,1,1,low_risk
man,125,FORCE,sometimes,2,178.113,77.831,19.694,100,633,1,11,0,1,0,1,0,0,low_risk
man,125,cygnus,usually,3,165.296,69.033,49.544,76,761,10,0,1,0,0,0,1,1,low_risk
man,125,Limi,never,1,168.6,54.05,18.368,56,782,6,0,1,0,0,0,1,1,low_risk
woman,50,axis Z,sometimes,3,165.156,57.247,22.607,57,938,4,14,1,1,0,0,0,1,low_risk
woman,125,GP,sometimes,2,163.265,52.377,33.288,130,989,0,18,1,1,1,1,1,1,medium_risk
man,125,POG,usually,2,177.499,67.13,35.833,117,200,4,7,1,0,1,0,1,1,low_risk
man,125,Fiddle,seldom,2,176.309,59.483,35.04,71,380,7,4,1,1,1,0,0,1,low_risk
woman,150,duke,seldom,1,162.09,53.864,56.54,83,281,9,9,1,0,0,0,0,1,low_risk
man,50,cygnus,sometimes,3,182.051,70.884,25.725,81,587,0,2,0,1,0,0,0,0,low_risk
man,125,Swish,always,2,172.31,61.063,24.647,81,694,9,17,1,0,0,0,0,0,low_risk
man,50,FORCE,sometimes,3,173.558,73.947,28.384,116,463,2,27,1,0,0,0,0,0,low_risk
woman,125,Cuxi,seldom,2,153.543,50.534,51.021,118,308,9,28,1,0,0,1,0,1,low_risk
man,150,DRG,usually,2,166.197,78.857,34.15,83,922,3,17,1,0,1,0,0,0,low_risk
man,150,JET,always,2,171.203,96.976,37.518,126,658,8,10,0,0,0,0,1,1,low_risk
man,125,duke,never,2,167.018,70.061,55.863,116,158,0,3,1,1,0,1,0,1,low_risk
man,50,famous,seldom,3,175.688,67.584,27.232,65,560,5,2,1,0,0,0,0,1,low_risk
woman,150,Cuxi,always,2,175.813,41.637,29.285,78,908,7,16,0,1,0,0,1,1,low_risk
woman,125,Fiddle,seldom,2,164.962,41.029,21.383,107,723,3,25,1,0,0,0,0,1,low_risk
man,125,POG,usually,3,164.805,76.923,30.997,123,83,2,7,1,1,0,0,0,1,low_risk
man,50,Fiddle,sometimes,2,178.843,89.04,27.354,54,58,3,1,1,0,0,0,1,1,low_risk
woman,150,Many,seldom,3,162.958,43.607,45.949,72,455,4,16,1,0,0,0,0,1,low_risk
woman,150,famous,sometimes,3,157.524,48.055,24.085,126,399,9,22,1,0,0,0,1,1,low_risk
woman,125,Fiddle,seldom,2,160.7,53.648,23.755,119,150,9,10,1,0,0,1,0,1,low_risk
man,125,Cuxi,seldom,3,186.339,70.058,31.784,69,604,4,24,1,0,1,0,1,1,low_risk
woman,125,famous,always,3,166.827,53.983,21.478,119,918,4,13,1,0,1,1,1,1,low_risk
woman,125,cygnus,always,2,157.225,49.729,19.924,53,680,7,12,1,0,1,1,0,0,low_risk
woman,50,cygnus,seldom,2,149.745,67.279,36.107,47,259,4,23,1,0,0,1,1,0,low_risk
man,125,Limi,usually,2,170.797,67.629,32.153,93,777,2,6,1,0,1,0,0,1,medium_risk
woman,125,Many,seldom,3,162.18,58.703,28.568,122,410,5,29,1,1,0,0,1,1,low_risk
woman,125,Cuxi,sometimes,2,156.444,40.251,40.112,104,960,10,6,1,1,0,0,0,1,low_risk
man,150,axis Z,seldom,2,175.532,65.528,20.381,68,721,1,17,1,0,0,1,1,1,low_risk
man,125,Many,seldom,3,176.556,55.781,37.993,72,687,7,0,1,1,0,0,1,0,low_risk
woman,125,Fiddle,sometimes,3,162.44,57.667,20.961,47,474,2,24,1,0,1,0,0,1,low_risk
woman,125,BWS,always,2,149.878,68.22,18.19,79,950,0,23,1,1,0,0,0,0,low_risk
woman,125,duke,sometimes,3,156.242,52.007,21.668,79,301,5,13,1,0,1,0,0,0,low_risk
woman,125,cygnus,usually,3,165.025,59.588,32.772,82,560,7,5,1,0,0,1,1,1,low_risk
man,150,Cuxi,usually,2,182.705,74.873,29.666,103,332,8,4,1,0,0,1,0,0,low_risk
man,150,Swish,seldom,2,179.52,72.684,66.057,99,111,0,19,1,0,0,1,0,1,low_risk
woman,125,duke,usually,2,167.038,45.842,29.661,118,68,4,15,1,0,0,0,1,1,low_risk
woman,125,axis Z,always,2,162.274,42.206,44.307,98,183,4,4,1,0,0,0,0,1,low_risk
woman,150,Many,seldom,2,152.949,53.889,31.676,48,498,4,6,0,0,0,1,0,1,low_risk
woman,125,JET,usually,1,146.47,51.152,35.727,100,650,2,29,1,1,0,1,0,1,low_risk
woman,50,Swish,seldom,3,160.224,70.61,28.602,97,689,3,23,1,1,1,0,1,1,low_risk
woman,50,axis Z,sometimes,1,162.002,54.92,21.194,121,101,2,21,1,0,0,1,0,0,low_risk
woman,50,FORCE,sometimes,1,147.497,34.44,34.945,97,923,6,19,1,1,0,0,1,1,low_risk
woman,125,BWS,sometimes,2,149.596,55.879,39.357,123,364,2,18,1,0,0,0,0,0,low_risk
