gender,exhaust_volume,motorcycle_style,passenger_on_backseat,helmet,height,weight,age,purchase_price,monthly_mileage,traffic_ticket_count,speeding_habbit,has_license,has_modifications,is_noisy_engine,is_mountain_ride,has_regular_maintenance,commute_with_motorcycle,class
woman,125,FORCE,seldom,3,163.606,38.118,30.855,115,566,9,7,1,0,0,1,1,1,low_risk
woman,125,Swish,usually,3,157.961,39.467,26.03,128,744,8,2,1,0,0,0,0,1,low_risk
man,150,Swish,usually,2,165.138,58.111,39.222,64,623,6,15,1,1,0,1,1,0,low_risk
man,125,JET,sometimes,2,182.119,77.715,28.972,79,251,9,9,1,0,1,1,1,1,medium_risk
man,50,DRG,sometimes,3,192.832,84.179,43.246,108,884,4,3,0,0,1,1,0,1,low_risk
man,50,Many,usually,2,177.901,80.483,26.487,79,111,0,20,1,1,0,0,1,1,low_risk
woman,125,axis Z,seldom,3,148.999,62.718,26.822,111,932,10,1,1,0,0,0,1,1,low_risk
woman,125,cygnus,sometimes,2,160.274,49.242,29.976,130,414,4,5,0,0,0,1,0,1,medium_risk
man,125,Fiddle,usually,3,159.36,67.033,25.593,107,63,1,12,1,1,0,0,0,1,low_risk
woman,150,POG,seldom,2,151.675,59.993,50.507,90,374,10,27,0,1,0,0,1,0,low_risk
woman,150,JET,sometimes,2,159.578,70.71,37.897,78,911,2,12,1,1,0,0,0,1,low_risk
man,100,duke,seldom,2,169.162,76.835,37.742,73,647,9,3,1,0,0,1,0,1,medium_risk
man,50,DRG,sometimes,2,175.931,70.597,36.943,47,629,8,7,1,0,0,0,0,0,low_risk
woman,125,duke,sometimes,2,163.0,43.321,33.622,84,806,8,24,1,0,0,1,1,0,low_risk
woman,150,cygnus,seldom,2,167.705,39.615,36.964,113,353,2,26,1,0,0,1,0,1,low_risk
woman,125,FORCE,seldom,2,159.011,47.02,31.562,121,492,0,11,1,0,0,0,0,1,medium_risk
woman,125,Cuxi,never,3,160.818,45.139,25.589,112,593,6,24,1,0,1,0,1,1,low_risk
man,150,FORCE,sometimes,2,187.646,59.02,25.939,80,214,7,17,0,0,1,0,1,0,low_risk
woman,150,DRG,never,3,169.107,47.427,45.264,94,532,3,20,1,0,0,0,1,1,low_risk
man,50,FORCE,never,2,167.532,40.279,37.374,120,356,2,14,1,1,0,1,0,0,low_risk
man,125,famous,sometimes,2,175.113,64.01,34.16,80,668,4,6,1,0,0,0,1,0,low_risk
man,125,axis Z,always,2,175.325,65.474,25.248,59,320,1,9,0,0,0,0,1,0,low_risk
man,125,famous,never,2,170.249,73.926,27.65,80,564,10,6,1,1,0,0,1,1,medium_risk
man,125,famous,seldom,3,168.261,60.053,23.663,55,12,4,22,1,0,0,0,0,1,low_risk
woman,125,famous,seldom,1,162.287,58.106,32.398,85,764,1,15,1,0,0,0,1,1,low_risk
woman,125,JET,always,3,144.222,34.284,20.183,49,438,0,11,1,0,1,0,1,0,low_risk
man,125,Swish,never,2,172.388,55.603,39.396,114,243,4,0,1,1,0,0,1,1,medium_risk
woman,150,cygnus,sometimes,3,159.698,53.445,23.604,59,924,10,9,0,0,0,0,0,1,low_risk
woman,125,Many,usually,3,168.737,49.931,30.636,115,349,2,17,1,0,0,1,0,1,low_risk
woman,125,Many,seldom,3,145.027,66.71,23.32,97,448,7,27,1,0,0,0,0,1,low_risk
woman,125,POG,sometimes,2,161.624,49.896,22.929,58,951,6,24,1,0,0,0,0,1,medium_risk
woman,150,axis Z,sometimes,3,158.413,44.258,33.232,52,129,0,7,1,0,0,0,0,0,low_risk
woman,150,BWS,always,2,165.114,54.703,20.188,59,889,7,27,1,0,1,0,1,1,low_risk
man,100,Limi,seldom,2,173.388,73.175,41.14,55,286,2,14,1,0,0,1,0,0,low_risk
man,50,cygnus,seldom,2,189.09,74.215,37.355,87,355,8,6,1,0,1,0,0,1,low_risk
man,125,DRG,sometimes,3,167.779,69.47,21.111,101,162,0,14,1,0,1,0,0,0,low_risk
woman,125,Many,always,2,145.08,51.116,27.971,98,593,4,18,1,0,0,0,0,1,medium_risk
woman,125,Swish,sometimes,3,162.096,60.085,18.303,68,561,10,11,0,0,0,1,0,1,low_risk
woman,125,Cuxi,seldom,3,154.768,53.686,34.677,84,996,10,18,1,0,0,0,1,1,low_risk
man,125,Cuxi,sometimes,3,161.223,76.655,19.655,45,930,2,15,1,0,0,1,0,1,low_risk
man,125,JET,seldom,2,179.965,69.615,28.919,122,180,5,26,1,0,0,0,0,0,low_risk
woman,125,Many,always,3,168.52,54.686,33.292,105,451,1,28,1,0,0,0,1,1,low_risk
man,125,BWS,usually,2,172.303,61.19,55.409,48,261,10,25,1,0,1,0,1,1,medium_risk
man,125,DRG,sometimes,2,186.09,73.071,34.306,108,385,7,2,1,0,1,0,0,1,medium_risk
man,150,JET,seldom,3,176.159,67.422,40.723,54,343,9,1,0,0,1,0,1,1,low_risk
man,100,cygnus,sometimes,3,171.451,55.122,35.667,87,825,1,25,1,1,1,1,1,0,low_risk
woman,125,famous,seldom,2,156.34,46.993,33.81,87,304,2,0,1,0,0,0,0,1,medium_risk
woman,150,DRG,never,2,145.118,31.853,21.791,46,640,2,3,1,0,0,0,1,1,low_risk
woman,125,cygnus,seldom,2,168.435,41.621,18.295,106,696,7,11,1,0,0,0,1,0,low_risk
woman,125,cygnus,sometimes,1,162.704,56.34,48.124,71,237,3,26,1,0,0,0,1,1,low_risk
man,125,famous,always,3,178.468,60.366,20.769,52,992,6,6,1,0,0,0,0,1,low_risk
man,125,BWS,sometimes,3,190.804,64.082,30.288,76,540,5,17,1,0,0,1,1,0,low_risk
man,125,cygnus,seldom,2,177.443,55.006,19.466,60,941,8,4,1,0,0,1,0,0,low_risk
woman,125,Cuxi,usually,1,160.932,54.332,35.42,47,571,4,0,1,0,0,0,0,1,low_risk
man,100,GP,usually,1,182.506,63.865,21.322,50,390,0,29,1,1,0,1,0,1,low_risk
woman,125,DRG,seldom,3,165.606,65.667,28.523,102,645,4,29,1,0,0,1,1,1,low_risk
man,50,Cuxi,sometimes,2,171.711,56.406,33.463,71,822,4,24,1,0,1,0,1,1,low_risk
man,125,JET,seldom,3,177.081,59.383,19.75,129,209,1,7,1,0,0,0,0,1,low_risk
woman,125,JET,always,2,138.237,27.442,25.581,94,198,8,26,0,0,0,0,1,1,medium_risk
woman,125,Many,seldom,1,154.217,65.05,18.725,85,717,9,9,0,0,0,0,1,0,low_risk
woman,125,cygnus,sometimes,2,159.876,56.183,34.729,122,651,0,29,1,0,0,1,1,1,medium_risk
man,125,duke,usually,1,165.27,100.961,33.592,60,136,3,0,1,1,0,1,1,1,low_risk
man,125,POG,sometimes,2,170.255,88.888,22.107,53,364,6,17,1,0,0,0,0,0,low_risk
woman,50,JET,usually,2,152.31,44.122,54.089,93,259,3,12,1,1,0,0,1,1,low_risk
man,150,famous,sometimes,3,166.694,75.586,34.454,130,504,4,11,1,0,0,0,0,1,low_risk
man,100,cygnus,never,3,166.485,58.997,44.497,91,166,8,9,1,1,0,0,1,1,low_risk
man,50,JET,never,3,174.143,68.885,33.191,55,664,2,5,1,0,0,0,0,1,low_risk
man,125,Swish,never,3,154.612,61.518,21.343,74,610,4,18,1,0,0,1,0,0,low_risk
woman,125,cygnus,never,3,154.294,48.441,25.925,78,551,6,6,1,0,0,0,0,0,low_risk
man,125,axis Z,never,2,184.825,67.913,31.548,128,906,9,2,1,1,0,1,0,0,low_risk
woman,125,Fiddle,seldom,2,172.582,68.0,20.423,99,595,8,7,1,0,0,0,0,1,medium_risk
man,50,duke,seldom,2,183.697,64.456,24.597,77,765,7,21,1,1,0,1,0,1,low_risk
man,100,axis Z,sometimes,3,174.237,83.753,41.666,124,145,0,23,1,1,0,0,1,1,low_risk
woman,150,FORCE,seldom,3,137.51,60.365,22.786,83,644,4,5,1,0,0,0,0,0,low_risk
man,50,Many,usually,2,177.226,73.275,25.772,120,463,1,28,1,1,0,0,1,1,low_risk
woman,100,Swish,sometimes,2,157.176,52.414,30.46,103,509,1,25,1,1,0,0,1,0,low_risk
man,125,BWS,seldom,3,161.654,57.162,39.022,109,202,7,28,1,0,0,1,1,0,low_risk
man,150,Many,seldom,2,161.325,89.0,20.436,88,302,8,15,1,0,0,1,0,1,low_risk
woman,150,axis Z,sometimes,3,154.634,61.923,29.192,46,648,5,15,1,0,0,1,1,1,low_risk
woman,100,Many,sometimes,3,159.488,35.48,27.625,40,719,2,29,1,0,0,1,0,1,low_risk
woman,125,Swish,always,2,158.332,32.449,19.143,125,732,6,1,1,0,0,0,0,1,medium_risk
man,150,DRG,seldom,2,173.764,73.251,19.606,48,714,1,13,1,0,1,0,0,1,low_risk
woman,50,Swish,seldom,1,170.745,43.044,23.289,62,394,7,8,1,0,0,0,0,1,low_risk
man,50,axis Z,seldom,2,173.531,73.031,32.778,66,33,8,6,1,0,0,0,1,1,low_risk
woman,150,Fiddle,seldom,2,153.214,37.783,28.537,99,870,8,13,1,0,0,0,0,1,low_risk
man,125,Cuxi,seldom,3,164.713,74.605,39.732,130,14,9,8,1,0,0,0,0,1,low_risk
woman,125,DRG,sometimes,2,155.569,40.608,42.058,58,631,10,14,1,0,0,0,1,1,medium_risk
man,125,POG,seldom,3,161.934,64.006,27.791,81,21,1,8,1,0,0,0,0,1,low_risk
man,125,Swish,never,2,176.097,60.257,35.515,128,608,10,2,1,0,1,0,1,1,medium_risk
man,50,famous,always,1,167.889,68.208,27.021,99,360,3,26,1,0,1,1,0,1,low_risk
woman,125,axis Z,seldom,1,158.96,33.759,53.719,69,269,0,13,1,1,0,1,1,0,low_risk
woman,125,cygnus,seldom,2,169.533,54.273,29.118,92,788,5,6,1,1,0,0,1,1,medium_risk
man,50,Fiddle,usually,3,182.155,58.68,35.044,72,253,2,3,1,0,0,0,0,1,low_risk
man,100,BWS,sometimes,2,175.191,68.085,28.732,59,367,0,22,0,0,0,1,0,1,medium_risk
man,100,cygnus,sometimes,3,183.741,86.239,22.225,97,333,9,11,1,0,0,0,1,0,low_risk
woman,150,FORCE,seldom,2,170.096,39.132,37.189,103,295,7,18,1,0,0,1,0,1,low_risk
woman,100,Limi,always,2,159.007,44.593,23.341,86,683,1,28,1,0,1,0,1,1,medium_risk
man,50,POG,sometimes,3,166.771,67.797,21.901,50,107,5,24,1,0,0,0,1,1,low_risk
man,125,axis Z,seldom,3,183.042,75.95,27.15,40,836,3,26,1,0,1,0,0,1,low_risk
man,125,FORCE,seldom,3,182.81,86.41,27.242,72,226,5,7,1,1,0,1,0,1,high_risk
man,150,duke,seldom,2,167.854,79.101,25.114,97,765,4,16,1,0,0,0,1,1,low_risk
woman,125,cygnus,sometimes,2,164.195,64.955,54.292,102,458,8,10,1,1,0,0,1,1,medium_risk
man,150,duke,sometimes,3,175.017,78.856,28.509,104,813,10,8,0,0,0,1,1,1,low_risk
man,150,famous,sometimes,2,177.672,72.659,39.814,110,113,3,11,1,0,0,0,1,1,low_risk
woman,125,FORCE,seldom,3,144.282,41.015,26.941,99,167,1,28,1,1,0,0,0,1,low_risk
man,50,Swish,sometimes,2,166.317,69.623,18.58,121,288,5,23,1,0,0,0,0,1,low_risk
woman,100,Many,seldom,2,155.101,42.743,22.697,92,899,0,13,1,0,0,1,0,1,medium_risk
woman,125,POG,usually,2,170.639,56.145,20.452,62,551,9,26,1,0,0,0,1,0,low_risk
woman,150,POG,sometimes,1,163.413,48.472,26.973,68,769,7,8,1,0,0,0,0,0,low_risk
man,125,DRG,always,2,183.615,63.965,44.448,121,796,4,27,1,1,0,0,1,1,medium_risk
man,125,Limi,always,3,161.378,82.57,52.002,83,277,7,17,1,1,0,0,1,1,low_risk
man,125,Limi,usually,2,174.086,63.613,20.634,79,60,2,13,1,0,0,0,1,1,medium_risk
woman,125,famous,usually,2,160.112,59.155,18.661,117,431,2,16,1,0,0,0,1,1,medium_risk
woman,125,GP,seldom,2,142.788,35.544,21.731,123,689,6,7,1,0,0,0,0,0,low_risk
woman,125,Cuxi,sometimes,1,160.085,42.623,37.204,62,431,0,29,1,1,0,1,0,1,high_risk
woman,125,cygnus,never,2,160.943,43.626,25.818,92,791,3,22,1,0,1,0,0,1,medium_risk
man,150,Cuxi,seldom,3,171.264,76.123,42.841,108,492,4,20,1,0,0,0,0,0,low_risk
woman,50,BWS,never,1,146.353,44.645,18.917,52,480,10,8,1,0,1,0,1,1,low_risk
man,125,POG,never,1,183.959,80.236,21.17,49,302,6,18,1,0,0,0,0,0,low_risk
man,125,JET,seldom,3,177.286,94.487,29.785,102,188,10,1,1,1,0,0,0,1,low_risk
man,125,Limi,seldom,2,173.799,63.73,32.485,85,55,3,9,1,1,0,0,1,1,medium_risk
woman,150,GP,always,2,162.256,43.082,29.722,49,781,4,20,1,0,0,0,1,0,low_risk
man,50,cygnus,usually,2,166.781,63.928,26.879,97,159,4,2,1,1,1,0,1,0,low_risk
woman,150,axis Z,seldom,2,157.869,51.23,32.01,128,570,9,14,1,0,0,1,1,1,low_risk
woman,150,JET,always,3,140.645,56.245,20.894,51,685,10,25,0,0,0,0,0,1,low_risk
man,125,Limi,always,2,172.277,52.676,24.63,79,902,7,23,1,0,1,1,1,1,medium_risk
man,125,Cuxi,never,2,173.49,74.532,52.384,65,730,4,15,1,1,0,1,0,1,medium_risk
woman,125,DRG,seldom,2,165.516,65.122,39.355,50,246,10,23,1,0,1,0,0,1,medium_risk
woman,125,Limi,sometimes,2,184.009,44.031,51.956,109,901,6,2,1,0,0,0,1,1,medium_risk
man,125,Many,seldom,3,167.732,81.531,19.677,54,964,0,20,0,0,0,0,0,1,low_risk
man,125,BWS,usually,2,167.675,65.744,32.819,46,30,1,9,1,0,1,0,1,1,medium_risk
man,125,duke,sometimes,3,169.351,46.267,37.04,61,812,1,11,1,1,0,0,1,1,low_risk
woman,125,axis Z,seldom,2,157.211,47.57,36.783,92,746,9,19,1,0,0,1,0,1,medium_risk
man,150,cygnus,usually,2,180.687,84.996,21.427,50,692,6,22,1,0,0,0,1,1,low_risk
man,125,duke,always,2,190.926,67.849,50.868,63,222,5,1,1,0,0,1,1,1,medium_risk
woman,100,Fiddle,always,2,157.491,50.918,23.491,93,74,5,20,1,0,1,0,1,1,medium_risk
woman,125,Cuxi,sometimes,2,160.539,58.029,33.312,78,305,1,13,1,1,0,0,1,0,low_risk
man,125,POG,always,2,162.589,76.098,30.685,110,255,3,29,1,1,0,1,1,1,medium_risk
man,50,Swish,seldom,2,165.756,66.012,34.444,122,918,5,11,1,0,0,0,1,1,low_risk
man,50,Limi,usually,2,158.197,71.976,26.85,112,578,4,23,1,1,1,0,0,0,low_risk
man,125,cygnus,seldom,3,174.544,61.654,52.204,78,327,1,22,1,0,0,0,0,1,low_risk
man,125,cygnus,seldom,2,152.364,68.324,31.702,48,508,0,28,0,0,1,0,1,1,medium_risk
woman,150,DRG,seldom,2,148.898,64.294,30.571,105,149,10,12,1,0,0,0,0,1,low_risk
woman,125,cygnus,seldom,2,158.844,40.441,18.211,90,656,7,6,1,0,0,0,0,0,low_risk
woman,125,Fiddle,seldom,2,153.995,51.786,36.741,101,929,6,6,1,0,0,0,0,1,medium_risk
man,125,duke,always,3,166.602,69.102,27.592,94,343,3,14,0,0,0,0,0,0,low_risk
woman,150,GP,always,2,158.09,36.283,23.446,56,581,4,18,1,0,0,0,1,1,low_risk
man,125,Fiddle,sometimes,3,182.967,65.125,44.6,108,203,8,15,1,0,0,1,0,1,low_risk
woman,125,Cuxi,sometimes,3,156.406,46.686,18.588,107,571,1,14,1,0,0,0,1,1,low_risk
woman,50,Fiddle,seldom,2,163.79,32.739,38.674,52,68,3,29,1,0,0,1,1,1,low_risk
man,125,GP,usually,2,168.632,56.967,21.285,99,196,3,28,1,1,0,0,1,1,medium_risk
woman,125,axis Z,seldom,2,149.546,31.946,20.044,114,477,7,15,1,0,0,0,1,1,medium_risk
man,150,GP,seldom,2,167.974,61.579,25.925,122,283,2,13,1,0,0,0,0,1,low_risk
woman,100,Limi,usually,2,156.557,59.649,44.696,106,588,4,13,1,0,1,0,0,1,medium_risk
man,125,cygnus,never,2,180.353,81.429,36.402,128,111,6,2,1,1,0,0,0,1,medium_risk
man,125,Cuxi,never,2,153.691,75.427,32.897,100,686,3,2,0,0,0,0,0,1,medium_risk
woman,50,Cuxi,seldom,2,150.584,49.506,21.32,57,878,3,24,1,1,0,0,0,1,low_risk
man,125,FORCE,always,3,183.958,75.852,31.714,70,298,7,28,1,1,0,0,1,1,low_risk
woman,125,axis Z,sometimes,3,174.206,22.193,20.088,113,863,5,15,1,1,0,0,1,0,low_risk
woman,125,Swish,never,2,145.411,44.918,38.063,47,787,10,14,1,0,0,0,0,0,low_risk
woman,125,cygnus,seldom,3,159.29,49.59,29.603,77,400,0,16,0,0,0,1,1,0,low_risk
man,125,Swish,usually,3,184.411,83.805,24.002,128,140,2,5,1,1,0,0,0,1,low_risk
man,125,BWS,sometimes,2,154.092,75.08,32.3,118,190,10,0,1,0,0,0,0,1,medium_risk
woman,150,axis Z,seldom,2,173.585,59.49,18.044,123,156,3,6,1,1,0,0,1,1,low_risk
man,125,Cuxi,usually,3,171.289,56.676,27.984,70,790,6,28,1,1,0,0,0,1,low_risk
man,125,BWS,sometimes,2,164.223,70.062,34.049,46,706,2,2,1,0,1,0,0,1,medium_risk
woman,125,JET,seldom,3,171.983,43.156,19.632,119,154,3,14,1,1,0,0,1,1,low_risk
man,50,FORCE,seldom,2,175.889,85.663,47.892,114,0,3,28,1,1,0,0,0,1,low_risk
woman,125,BWS,never,2,154.214,51.483,19.152,118,302,4,5,1,0,0,0,1,1,medium_risk
man,125,Swish,seldom,2,175.673,77.492,39.06,109,461,5,15,0,1,0,1,1,1,medium_risk
man,150,JET,sometimes,2,163.617,71.852,33.929,56,868,5,26,1,0,0,0,0,1,low_risk
woman,100,Many,seldom,1,159.212,35.135,27.308,116,487,3,8,1,0,0,0,0,0,low_risk
man,125,GP,seldom,2,189.154,69.012,29.363,80,921,4,5,1,0,0,0,1,0,low_risk
woman,125,DRG,seldom,3,161.611,50.985,33.043,99,59,6,0,1,0,1,1,1,1,low_risk
man,125,famous,sometimes,2,170.588,67.091,29.111,71,293,2,9,1,1,0,0,1,0,low_risk
woman,100,FORCE,sometimes,2,151.721,28.491,32.213,60,401,0,16,1,0,0,0,1,1,medium_risk
man,50,famous,seldom,2,168.914,75.556,37.191,95,948,3,11,1,1,0,0,0,0,low_risk
man,125,FORCE,usually,2,167.535,47.533,31.647,79,560,6,9,1,0,0,0,0,0,low_risk
woman,125,axis Z,always,2,165.473,50.833,38.423,100,719,4,17,1,1,0,1,0,0,low_risk
woman,50,famous,sometimes,2,169.773,43.464,30.461,119,541,5,6,1,0,1,0,1,0,low_risk
woman,125,DRG,seldom,1,163.606,42.214,38.771,95,552,4,7,1,0,0,0,0,1,low_risk
man,125,axis Z,usually,2,151.249,73.842,31.898,111,171,8,18,1,0,1,0,0,1,medium_risk
man,125,axis Z,never,3,164.013,75.674,26.56,99,912,6,14,1,0,0,0,0,1,low_risk
man,125,Swish,sometimes,2,170.306,77.829,36.654,122,113,7,20,1,0,0,1,0,0,low_risk
man,150,JET,seldom,2,180.52,72.721,18.81,112,732,0,21,1,0,0,0,1,0,low_risk
woman,100,POG,sometimes,2,163.39,45.845,38.013,83,482,5,6,1,0,0,0,0,1,medium_risk
man,125,cygnus,seldom,3,163.291,65.001,31.992,107,768,5,11,1,0,0,1,0,1,low_risk
man,125,BWS,usually,2,168.01,68.523,21.581,51,437,5,7,1,0,0,0,0,0,low_risk
woman,150,GP,sometimes,2,164.627,51.197,37.169,50,283,9,27,1,0,0,0,0,1,low_risk
woman,125,famous,never,3,153.434,58.892,33.053,118,494,6,19,1,0,0,1,1,1,low_risk
woman,100,BWS,seldom,2,168.446,53.756,39.285,96,584,5,22,0,0,1,0,0,1,medium_risk
man,125,axis Z,sometimes,2,163.74,64.985,27.155,48,660,9,27,1,0,0,0,0,0,low_risk
man,125,duke,usually,2,176.278,72.916,21.885,93,24,2,7,1,0,0,1,0,0,low_risk
man,100,Many,seldom,2,171.005,59.671,33.086,56,833,6,7,0,1,0,1,1,1,medium_risk
woman,50,cygnus,sometimes,1,160.936,58.069,59.257,79,887,8,5,1,0,0,0,1,1,low_risk
man,125,JET,seldom,2,177.892,63.277,23.094,92,916,2,27,1,0,0,0,0,1,medium_risk
woman,125,Cuxi,seldom,2,141.364,45.325,29.456,117,512,6,6,1,0,0,0,0,1,medium_risk
woman,150,Fiddle,seldom,2,153.005,43.741,21.57,78,878,2,2,0,0,0,1,0,1,low_risk
woman,125,GP,always,2,167.142,49.091,19.896,96,513,2,8,1,0,0,0,1,1,medium_risk
woman,50,DRG,sometimes,3,156.646,42.611,26.089,107,772,8,5,1,1,0,0,1,1,low_risk
man,125,famous,never,2,172.638,68.308,18.264,58,416,5,23,1,0,0,1,0,1,medium_risk
woman,125,POG,sometimes,2,150.052,57.751,33.892,126,883,3,6,1,1,0,0,1,1,medium_risk
man,50,DRG,seldom,3,175.683,81.597,49.663,95,847,3,6,1,1,0,0,1,1,low_risk
man,150,famous,seldom,2,190.657,71.274,39.202,107,144,3,27,1,0,0,0,0,1,low_risk
man,150,Fiddle,usually,1,172.973,65.421,21.35,43,965,10,3,1,0,0,1,0,1,low_risk
man,125,POG,seldom,2,180.195,87.088,26.661,85,900,4,1,1,0,0,0,0,1,medium_risk
woman,125,BWS,seldom,3,149.88,60.633,30.731,51,876,6,5,1,0,0,0,0,1,low_risk
woman,125,JET,seldom,2,149.868,53.208,41.211,41,363,0,9,1,0,1,0,1,1,medium_risk
woman,125,axis Z,seldom,2,156.74,54.9,32.751,55,74,10,29,1,0,0,0,0,1,medium_risk
man,125,Many,sometimes,3,173.497,81.263,26.532,95,978,8,3,1,0,0,0,1,1,low_risk
